BIOL*323,Vertebrate Diversity and Evolution,Biology (BIOL),Units: 3.00
BIOL*327,Field Biology III,Biology (BIOL),Units: 3.00
BIOL*330,Cell Biology,Biology (BIOL),Units: 3.00
BIOL*331,Analytical Genomics,Biology (BIOL),Units: 3.00
BIOL*333,Applied Biology,Biology (BIOL),Units: 3.00
BIOL*334,Comparative Biochemistry,Biology (BIOL),Units: 3.00
BIOL*335,Limnology and Aquatic Ecology,Biology (BIOL),Units: 3.00
BIOL*338,Marine Biology,Biology (BIOL),Units: 3.00
BIOL*339,Animal Physiology,Biology (BIOL),Units: 3.00
BIOL*341,Plant Physiology,Biology (BIOL),Units: 3.00
BIOL*343,Data Analysis for Biologists,Biology (BIOL),Units: 3.00
BIOL*350,Evolution and Human Affairs,Biology (BIOL),Units: 3.00
BIOL*360,Biotechnology and Society,Biology (BIOL),Units: 3.00
BIOL*369,Sex and Evolution,Biology (BIOL),Units: 3.00
BIOL*401,Experimental Approaches to Animal Physiology,Biology (BIOL),Units: 3.00
BIOL*402,Experiments in Plant Physiology,Biology (BIOL),Units: 3.00
BIOL*403,Experimental Techniques in Biology,Biology (BIOL),Units: 3.00
BIOL*404,Techniques in Molecular Biology,Biology (BIOL),Units: 3.00
BIOL*407,Field Biology II,Biology (BIOL),Units: 3.00
BIOL*409,Bioremediation,Biology (BIOL),Units: 3.00
BIOL*410,Ecology of Lakes and Streams,Biology (BIOL),Units: 3.00
BIOL*411,Global Change Biology,Biology (BIOL),Units: 3.00
BIOL*416,Terrestrial Ecosystems,Biology (BIOL),Units: 3.00
BIOL*418,Fisheries Techniques,Biology (BIOL),Units: 3.00
BIOL*422,Conservation Biology,Biology (BIOL),Units: 3.00
BIOL*423,Modern Insect Science,Biology (BIOL),Units: 3.00
BIOL*430,Molecular Genetics of Development,Biology (BIOL),Units: 3.00
BIOL*431,Cellular Basis of Adaptation,Biology (BIOL),Units: 3.00
BIOL*432,Computation and Big Data in Biology,Biology (BIOL),Units: 3.00
BIOL*433,History and Philosophy of Biology,Biology (BIOL),Units: 3.00
BIOL*439,Natural Selection and Microevolution,Biology (BIOL),Units: 3.00
BIOL*440,Speciation and Macroevolution,Biology (BIOL),Units: 3.00
BIOL*441,Molecular Genetics,Biology (BIOL),Units: 3.00
BIOL*442,Evolutionary Medicine,Biology (BIOL),Units: 3.00
BIOL*445,Neuroethology,Biology (BIOL),Units: 3.00
BIOL*501,Recent Research in Molecular,Biology (BIOL),Units: 3.00
BIOL*502,Plant Cell Responses to Environmental Stress,Biology (BIOL),Units: 3.00
BIOL*503,Plant Biotechnology,Biology (BIOL),Units: 3.00
BIOL*504,Extremophiles,Biology (BIOL),Units: 3.00
BIOL*505,Cell Signaling in Development and Disease,Biology (BIOL),Units: 3.00
BIOL*506,Biochemical Adaptations to Life Under Extreme Conditions,Biology (BIOL),Units: 3.00
BIOL*507,Biotechnology,Biology (BIOL),Units: 3.00
BIOL*508,Biology of the Cell Cycle,Biology (BIOL),Units: 3.00
BIOL*509,Limnological Environmental Studies,Biology (BIOL),Units: 3.00
BIOL*510,The Biology of Sustainability,Biology (BIOL),Units: 3.00
BIOL*515,Aquaculture,Biology (BIOL),Units: 3.00
BIOL*527,Paleolimnology and Global Environmental Change,Biology (BIOL),Units: 3.00
BIOL*530,Origins of Biodiversity,Biology (BIOL),Units: 3.00
BIOL*531,Darwinism and Cultural Evolution,Biology (BIOL),Units: 3.00
BIOL*532,Selected Topics in Biology I,Biology (BIOL),Units: 3.00
